sku,popularity_rank
U-SHIRT-CT-JET-XL,29.6
U-SHIRT-CT-OCEA-L,42.4
U-SHIRT-CT-OCEA-M,42.4
U-SHIRT-CT-OCEA-S,42.4
U-SHIRT-CT-OCEA-XL,42.4
U-SHIRT-CT-OCEA-XS,42.4
U-SHIRT-CT-OLIV-L,46.3
U-SHIRT-CT-OLIV-M,46.3
U-SHIRT-CT-OLIV-S,46.3
U-SHIRT-CT-OLIV-XL,46.3
U-SHIRT-CT-OLIV-XS,46.3
U-SUNHD-ROCK-L,92.3
U-SUNHD-ROCK-M,92.3
U-SUNHD-ROCK-S,92.3
U-SUNHD-ROCK-XL,92.3
U-SUNHD-ROCK-XS,92.3
U-SUNHD-SAHA-L,95.5
U-SUNHD-SAHA-M,95.5
U-SUNHD-SAHA-S,95.5
U-SUNHD-SAHA-XL,95.5
U-SUNHD-SAHA-XS,95.5
U-SUNHD-SAPW-L,88.7
U-SUNHD-SAPW-M,88.7
U-SUNHD-SAPW-S,88.7
U-SUNHD-SAPW-XL,88.7
U-SUNHD-SEAB-L,90.4
U-SUNHD-SEAB-M,90.4
U-SUNHD-SEAB-S,90.4
U-SUNHD-SEAB-XL,90.4
U-SUNHD-SEAB-XS,90.4
USOCSUNL01,58.2
USOCVELFLIL02,49.2
USOCVELFLIS02,49.2
USOCVELFUCL01,0.3
USOCVELGREL02,56.9
USOCVELGRES02,56.9
VELOLXLBLA01,86.2
VELOLXLMWHI01,88.4
VELOLXLOLI01,59.2
VELOLXSMOLI01,59.2
VELOXSMBLA01,86.2
VELOXSMWHI01,88.4
VISSTDJET01,63.0
VISSTDLUM01,46.6
VSERAZU02,1.9
VSERCHA01,28.3
VSERCIT01,34.1
VSERDAY01,41.2
VSEREXO01,67.2
VSERMAG01,27.3
VSERORB01,25.7
VSERROS01,47.3
VSERSEC01,42.1
VSERSHO01,35.7
VSERSUN01,25.1
W-LS-V-AURA-L,65.3
W-LS-V-AURA-M,65.3
W-LS-V-AURA-S,65.3
W-LS-V-AURA-XS,65.3
W-LS-V-JET-L,66.2
W-LS-V-JET-M,66.2
W-LS-V-JET-S,66.2
W-LS-V-JET-XS,66.2
W-SHIRT-ECHO-L,55.0
W-SHIRT-ECHO-M,55.0
W-SHIRT-ECHO-S,55.0
W-SHIRT-ECHO-XL,55.0
W-SHIRT-ECHO-XS,55.0
W-SHIRT-RAYS-L,32.5
W-SHIRT-RAYS-M,32.5
W-SHIRT-RAYS-S,32.5
W-SHIRT-RAYS-XS,32.5
W-SHIRT-ROCK-L,31.5
W-SHIRT-ROCK-M,31.5
W-SHIRT-ROCK-S,31.5
W-SHIRT-S-SOLA-M,13.2
W-SHIRT-S-SOLA-S,13.2
W-SHIRT-V-OSSA-M,22.8
W-SHIRT-V-OSSA-S,22.8
W-SING-ECHO-L,43.1
W-SING-ECHO-M,43.1
W-SING-ECHO-S,43.1
W-SING-ECHO-XL,43.1
W-SING-ECHO-XS,43.1
W-SING-HEAR-L,24.8
W-SING-HEAR-M,24.8
W-SING-HEAR-S,24.8
W-SING-HEAR-XL,24.8
W-SING-HEAR-XS,24.8
W-SING-ROCK-M,28.0
W-SING-ROCK-S,28.0
W-SING-ROCK-XL,28.0
W-SING-ROCK-XS,28.0
W-SING-S-STEL-S,12.2
W-SING-S-STEL-XS,12.2
W-SING-V-UNFU-L,33.1
W-SING-V-UNFU-M,33.1
W-SING-V-UNFU-S,33.1
W-SING-V-UNFU-XS,33.1
WLSVELFREL01,36.3
WLSVELFREM01,36.3
WLSVELFRES01,36.3
WLSVELFREXL01,36.3
WLSVELFREXS01,36.3
WLSVELJETM01,37.0
WLSVELJETS01,37.0
WLSVELJETXL01,37.0
WLSVELJETXS01,37.0
WSHIRLSIERAUR01,52.4
WSHIRLSIERMOC01,25.4
WSHIRLSIERNEP01,46.0
WSHIRLSIERSLA01,23.5
WSHIRLSIERTUO01,43.4
WSHIRMSIERAUR01,52.4
WSHIRMSIERCHA01,21.9
WSHIRMSIERMOC01,25.4
WSHIRMSIERNEP01,46.0
WSHIRMSIERSLA01,23.5
WSHIRMSIERTUO01,43.4
WSHIRSSIERAUR01,52.4
WSHIRSSIERMOC01,25.4
WSHIRSSIERNEP01,46.0
WSHIRSSIERSLA01,23.5
WSHIRSSIERTUO01,43.4
WSHIRXLSIERAUR01,52.4
WSHIRXLSIERNEP01,46.0
WSHIRXLSIERTUO01,43.4
WSHIRXSSIERMOC01,25.4
WSHIRXSSIERNEP01,46.0
WSHIRXSSIERTUO01,43.4
WSHIVELCOBL01,48.2
WSHIVELCOBM01,48.2
WSHIVELCOBS01,48.2
WSHIVELCOBXS01,48.2
WSHIVELGREL01,83.6
WSHIVELGREM01,83.6
WSHIVELGRES01,83.6
WSHIVELGREXL01,83.6
WSHIVELGREXS01,83.6
WSINGLSIERMOS01,36.0
WSINGLSIERNEP01,43.7
WSINGLSIERTUO01,38.9
WSINGMSIEREMB01,21.2
WSINGMSIERMOC01,24.1
WSINGMSIERMOS01,36.0
WSINGMSIERNEP01,43.7
WSINGMSIERSLA01,19.6
WSINGMSIERTUO01,38.9
WSINGSSIEREMB01,21.2
WSINGSSIERMOC01,24.1
WSINGSSIERMOS01,36.0
WSINGSSIERNEP01,43.7
WSINGSSIERSLA01,19.6
WSINGSSIERTUO01,38.9
WSINGXLSIEREMB01,21.2
WSINGXLSIERNEP01,43.7
WSINGXLSIERSLA01,19.6
WSINGXLSIERTUO01,38.9
WSINGXSSIERMOC01,24.1
WSINGXSSIERMOS01,36.0
WSINGXSSIERNEP01,43.7
WSINGXSSIERSLA01,19.6
WSINVELATTM01,27.0
WSINVELATTS01,27.0
WSINVELATTXS01,27.0
WSINVELBUTL01,34.4
WSINVELBUTM01,34.4
WSINVELBUTS01,34.4
WSINVELBUTXS01,34.4
WSINVELCHAL01,19.9
WSINVELCHAM01,19.9
WSINVELCHAXS01,19.9
WSINVELFLIL01,79.1
WSINVELFLIM01,79.1
WSINVELFLIS01,79.1
WSINVELFLIXL01,79.1
WSINVELFLIXS01,79.1
WSINVELFUCL01,28.9
WSINVELFUCM01,28.9
WSINVELFUCS01,28.9
WSINVELFUCXL01,28.9
